ID	Positive_score	Negative_score	Content
51	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
52	1	0	@MarvelStudios i've been here since right before spider-man promo hdshjk #Avengers #InfinityWar
53	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
54	0	0	RT @partygirlu2: New tv spot #DoctorStrange #InfinityWar https://t.co/TOa8xxSxNL
55	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
56	0	0	RT @cyanwhisky: #infinitywar one iron man to go, please😎 https://t.co/IsfxUx10cF
57	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
58	0	0	@MarvelStudios #Avengers #InfinityWar - I can't wait!
59	0	0	@MarvelStudios Blasting off with Iron Man! #Avengers + #InfinityWar
60	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
61	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
62	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
63	0	0	@MarvelStudios Started with Iron Man 2 and then I became a fan for MCU #Avengers #InfinityWar
64	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
65	1	0	RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a @BoxLunchGifts Exclusive Unmasked Iron Spider Pop!. #SpiderMan #Infinit…
66	2	0	RT @CaptainAmerica: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/BA6hpJofaT…
67	2	1	@MarvelStudios @Marvel Saw @RobertDowneyJr in Sherlock and fell in love with his talent. Then watched The Avengers… https://t.co/WS8f8FN09G
68	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
69	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
70	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
