ID	Positive_score	Negative_score	Content
50	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
51	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
52	0	0	An entire universe. Once and for all #Avengers #InfinityWar
53	0	0	An entire universe. Once and for all #Avengers #InfinityWar via @gofooji
54	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
55	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
56	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
57	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
58	0	0	RT @MarvelStudios: In 2 Weeks, be a part of the legacy. See @Avengers: #InfinityWar in theaters, get tickets now: https://t.co/xQsJemiGws h…
59	1	0	RT @MarvelStudios: @90swomenn Ready? Let's go. https://t.co/ztbxAaasu0 #Avengers #InfinityWar #10Days
60	1	1	@MarvelStudios I watched Iron Man 1 when I was 14 &amp; immediately fell in love with this character. The same night, I… https://t.co/i65oBb9VT1
61	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/swJfTK7Xv9
62	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
63	0	0	An entire universe. Once and for all #Avengers #InfinityWar
64	0	0	An entire universe. Once and for all #Avengers #InfinityWar v
65	1	0	Tweet #Avengers #InfinityWar for a chance to win an Avengers surprise 🎁
66	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/7DLbHO8TlI
67	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/nDimIhCUZU
68	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/7oPNDGyoG4
69	0	0	RT @nerdist: Where exactly is the Soul Stone? We explain the 10 biggest theories: https://t.co/d7fIJZvi0m #InfinityWar https://t.co/WA3Cp7d…
70	1	1	@MarvelStudios when I was 11 or 12 my parents bought iron man 1 on dvd and I fell in love with it #Avengers #InfinityWar
71	1	0	RT @cyanwhisky: #infinitywar one iron man to go, please😎 https://t.co/IsfxUx10cF
72	1	0	@gofooji #Avengers #InfinityWar for a chance to win an Avengers surprise 🎁
73	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
74	1	0	RT @cyanwhisky: #infinitywar one iron man to go, please😎 https://t.co/IsfxUx10cF
75	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
76	0	0	RT @JoshRossiPhoto: Jackson Sommers has been bullied because he does things differently due to having 35% of his cerebellum missing. See ho…
77	0	0	An entire universe. Once and for all #Avengers #InfinityWar via @gofooji
78	7	0	@MarvelStudios I saw Iron Man 3 years ago and I liked it and then came more movies and I couldn't stop with this 😍😂 #Avengers #InfinityWar
79	2	0	RT @theblackpanther: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4vH4cuj2ZU…
80	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
81	0	0	An entire universe. Once and for all #Avengers #InfinityWar
82	0	0	RT @CBR: Spider-Man Takes On Thanos in New #InfinityWar TV Spot
https://t.co/2TBitQqnV4 https://t.co/K9aSgsb2Gf
83	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
84	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
85	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
86	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/Ozw0sdHVNy
87	0	0	An entire universe. Once and for all #Avengers #InfinityWar via @gofooji
88	3	0	#Avengers #InfinityWar @gofooji very exciting!
89	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
90	1	0	I watched iron man in 2008 because of my love for RDJ. #avengers #InfinityWar
91	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
92	0	0	An entire universe. Once and for all #Avengers #InfinityWar
93	1	0	@gofooji Tweet #Avengers #InfinityWar for a chance to win an Avengers surprise 🎁
94	0	0	An entire universe. Once and for all #Avengers #InfinityWar !
95	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/gyLI5XrXHV
96	0	0	@MarvelStudios #Avengers + #InfinityWar #promo This guy!! https://t.co/bLQKdIpM0R
97	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/uNkFYd6cA0
98	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
99	0	2	Movie by movie. Starting off seeing #IronMan in theaters 10 years ago, and the CRAZY tease about the #Avengers at t… https://t.co/1zHvXNI0tb
100	0	0	An entire universe. Once and for all #Avengers #InfinityWar
101	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
102	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
103	0	0	#Avengers #InfinityWar I can't wait.
104	1	0	@MarvelStudios @Marvel Rented Iron Man from Blockbuster Video, been following the saga along ever since. #Avengers + #InfinityWar
105	0	0	@gofooji An entire universe. Once and for all #Avengers #InfinityWar
106	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
107	0	0	An entire universe. Once and for all #Avengers #InfinityWar via @gofooji
108	0	0	RT @gofooji: NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers #InfinityWar for a c…
109	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/ZX2klj7Yip
110	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
111	1	2	@MarvelStudios I watched Iron Man and fell in love with Tony Stark 💖💖 #Avengers #InfinityWar https://t.co/GinoVeQTFd
112	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
113	0	0	@MarvelStudios @Marvel Been obsessed since Iron Man I #Avengers #InfinityWar
114	0	0	RT @GeeksOfColor: Check out this new 'Avengers: Infinity War' poster for Moviebill! #InfinityWar https://t.co/qTAJHqo7Wt
115	1	0	@MarvelStudios It’s all in the love #avengers #InfinityWar
116	1	0	RT @cyanwhisky: #infinitywar one iron man to go, please😎 https://t.co/IsfxUx10cF
117	1	0	@gofooji Yay for #Avengers and #infinitywar
118	0	3	@MarvelStudios I’ve been watching since the beginning! 😭 I can’t wait to see where this movie takes us! #Avengers + #InfinityWar
119	1	0	Saw Iron Man 3 last night as we're going through the entire MCU filmography leading into #InfinityWar and I've got… https://t.co/i8g3m7iqdi
120	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/xm92F998j5
121	0	0	@gofooji NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/CDNTksAB6p
122	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
123	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/lvyyj0M7OU
124	0	0	Textless Infinity War posters!!! 

#InfinityWar https://t.co/BMW4uHF8RE
